id_fin,id_convenio,id_tempo,receita_liquida,custo_total,receita_bruta
95,7,202312,409720.00,290365.44,430511.75
96,8,202312,387316.53,341470.09,423258.62
97,1,202401,217428.70,175199.34,242491.23
98,2,202401,735683.12,566074.75,817633.69
99,3,202401,438600.44,356558.91,474971.88
100,4,202401,857291.06,674438.69,984702.00
101,5,202401,452314.09,400516.56,496007.91
102,6,202401,549864.75,428805.16,619331.94
103,7,202401,431112.12,343598.75,467985.75
104,8,202401,871018.75,658795.38,973117.19
105,1,202402,579408.69,516630.56,620538.75
106,2,202402,280753.66,196542.34,319024.66
107,3,202402,412789.50,305831.84,455705.09
108,4,202402,273577.47,238708.81,304638.91
109,5,202402,723797.62,576472.75,812969.81
110,6,202402,275671.66,227558.03,316688.66
111,7,202402,545996.75,420877.88,608667.00
112,8,202402,567174.75,446241.84,612048.81
113,1,202403,820314.06,699105.56,866629.00
114,2,202403,757361.75,605362.56,826879.25
115,3,202403,815752.00,664514.50,900145.00
116,4,202403,278173.94,211937.48,294660.28
117,5,202403,324970.09,288859.66,352375.53
118,6,202403,625276.50,547648.81,707247.44
119,7,202403,961531.31,783205.75,1014940.81
120,8,202403,361265.38,275338.75,382373.69
121,1,202404,457214.34,351233.62,508188.31
122,2,202404,914680.12,794453.06,996731.00
123,3,202404,300353.75,228317.42,336171.34
124,4,202404,566087.69,456073.28,615997.00
125,5,202404,636185.06,518549.75,718965.31
126,6,202404,770678.75,688540.62,835205.62
127,7,202404,751096.94,530237.44,798168.94
128,8,202404,237643.31,173734.31,268425.09
129,1,202405,564682.31,493774.38,622440.00
130,2,202405,441444.38,394033.66,495228.03
131,3,202405,953576.81,782166.69,1014449.25
132,4,202405,609970.06,544837.50,673958.94
133,5,202405,645780.88,492705.69,694850.50
134,6,202405,767567.00,648934.44,815260.31
135,7,202405,764816.75,672876.12,806162.06
136,8,202405,633713.88,468478.88,702155.38
137,1,202406,646015.00,553720.38,694555.25
138,2,202406,254269.06,215131.02,284976.16
139,3,202406,785306.75,639263.94,863061.38
140,4,202406,840078.56,619723.88,935562.12
141,5,202406,940566.25,777425.88,1009487.25
142,6,202406,278202.12,208902.70,298700.09
143,7,202406,488453.81,389432.69,537515.38
144,8,202406,393394.00,290161.12,427426.41
145,1,202407,837405.44,679038.50,901725.75
146,2,202407,224139.45,178437.92,252743.41
147,3,202407,969010.62,804792.12,1076595.88
148,4,202407,200891.64,178742.52,225612.89
149,5,202407,549063.38,434343.78,618658.62
150,6,202407,567634.38,441492.19,601367.88
151,7,202407,807191.19,679670.75,908969.88
152,8,202407,898751.69,678020.38,967254.88
153,1,202408,686533.25,482431.12,745891.38
154,2,202408,961995.75,856172.94,1059471.00
155,3,202408,241446.58,171231.44,262305.84
156,4,202408,454748.19,331239.56,522821.59
157,5,202408,533904.81,438345.62,595641.75
158,6,202408,567595.06,440226.41,608198.44
159,7,202408,644887.06,575867.88,732265.56
160,8,202408,331517.38,234818.16,356286.75
161,1,202409,621625.62,546726.62,699076.50
162,2,202409,785273.31,673316.62,836140.81
163,3,202409,762979.12,661658.38,854600.25
164,4,202409,256262.44,224734.17,286120.81
165,5,202409,410950.28,319519.59,467028.97
166,6,202409,369395.66,322629.88,394070.06
167,7,202409,573407.44,423588.97,630630.25
168,8,202409,604705.94,466957.59,688661.25
169,1,202410,902183.38,716023.00,1034183.38
170,2,202410,687125.38,593336.62,740988.88
171,3,202410,610952.81,536827.81,658810.12
172,4,202410,775588.19,640399.62,889129.06
173,5,202410,226235.62,160506.20,257006.09
174,6,202410,440298.28,388156.78,482189.56
175,7,202410,459295.31,353701.69,518565.38
176,8,202410,325522.16,287724.28,359518.47
177,1,202411,418737.09,350985.12,453012.94
178,2,202411,747906.31,634478.12,793438.44
179,3,202411,733591.50,520254.16,810121.38
180,4,202411,557390.62,491658.34,618376.75
181,5,202411,689843.31,610806.50,742703.88
182,6,202411,606373.25,512252.53,644422.50
183,7,202411,480690.75,417569.38,539129.94
184,8,202411,737623.06,563015.12,820654.69
185,1,202412,472564.78,412481.88,503544.09
186,2,202412,758045.88,539109.69,817055.69
187,3,202412,738114.69,544462.50,799539.19
188,4,202412,767262.56,672705.62,862901.94
189,5,202412,710925.69,638346.88,797449.12
190,6,202412,427119.50,370519.47,484201.41
191,7,202412,539784.00,402367.75,598836.62
192,8,202412,947855.75,691048.62,1014646.62
